Year,Jurisdiction,All students,below Basic,at or above Basic,at or above Proficient,at Advanced,,,,,,,,,,,,,,,,,,,
2024,National,All students,40,60,31,8,,,,,,,,,,,,,,,,,,,
2022,National,All students,37,63,33,9,,,,,,,,,,,,,,,,,,,
2019,National,All students,34,66,35,9,,,,,,,,,,,,,,,,,,,
2017,National,All students,32,68,37,9,,,,,,,,,,,,,,,,,,,
2015,National,All students,31,69,36,9,,,,,,,,,,,,,,,,,,,
2013,National,All students,32,68,35,8,,,,,,,,,,,,,,,,,,,
2011,National,All students,33,67,34,8,,,,,,,,,,,,,,,,,,,
2009,National,All students,33,67,33,8,,,,,,,,,,,,,,,,,,,
2007,National,All students,33,67,33,8,,,,,,,,,,,,,,,,,,,
2005,National,All students,36,64,31,8,,,,,,,,,,,,,,,,,,,
2003,National,All students,37,63,31,8,,,,,,,,,,,,,,,,,,,
2002,National,All students,36,64,31,7,,,,,,,,,,,,,,,,,,,
2000,National,All students,41,59,29,7,,,,,,,,,,,,,,,,,,,
2000¹,National,All students,37,63,32,8,,,,,,,,,,,,,,,,,,,
1998,National,All students,40,60,29,7,,,,,,,,,,,,,,,,,,,
1998¹,National,All students,38,62,31,7,,,,,,,,,,,,,,,,,,,
1994¹,National,All students,40,60,30,7,,,,,,,,,,,,,,,,,,,
1992¹,National,All students,38,62,29,6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,